# time,Ca_macrophage
2.380000000000000071e+01,9.999999998871176299e-01
2.390000000000000213e+01,9.999999998978136295e-01
2.400000000000000000e+01,9.999999999074761226e-01
2.410000000000000142e+01,9.999999999162343389e-01
2.420000000000000284e+01,9.999999999242094040e-01
2.430000000000000071e+01,9.999999999314470589e-01
2.440000000000000213e+01,9.999999999380103644e-01
2.450000000000000000e+01,9.999999999439608267e-01
2.460000000000000142e+01,9.999999999493508485e-01
2.470000000000000284e+01,9.999999999542262819e-01
2.480000000000000071e+01,9.999999999586350885e-01
2.490000000000000213e+01,9.999999999626170144e-01
2.500000000000000000e+01,9.999999999662068095e-01
2.510000000000000142e+01,9.999999999694362263e-01
2.520000000000000284e+01,9.999999999723360178e-01
2.530000000000000071e+01,9.999999999749396018e-01
2.540000000000000213e+01,9.999999999772792858e-01
2.550000000000000000e+01,9.999999999793884875e-01
2.560000000000000142e+01,9.999999999813030671e-01
2.570000000000000284e+01,9.999999999830619934e-01
2.580000000000000071e+01,9.999999999846771459e-01
2.590000000000000213e+01,9.999999999861508559e-01
2.600000000000000000e+01,9.999999999874960022e-01
2.610000000000000142e+01,9.999999999887224655e-01
2.620000000000000284e+01,9.999999999898365743e-01
2.630000000000000071e+01,9.999999999908442128e-01
2.640000000000000213e+01,9.999999999917559279e-01
2.650000000000000000e+01,9.999999999925777150e-01
2.660000000000000142e+01,9.999999999933136818e-01
2.670000000000000284e+01,9.999999999939671591e-01
2.680000000000000071e+01,9.999999999945404783e-01
2.690000000000000213e+01,9.999999999950424101e-01
2.700000000000000000e+01,9.999999999954840568e-01
2.710000000000000142e+01,9.999999999958755215e-01
2.720000000000000284e+01,9.999999999962290165e-01
2.730000000000000071e+01,9.999999999965594188e-01
2.740000000000000213e+01,9.999999999968787190e-01
2.750000000000000000e+01,9.999999999971784792e-01
2.760000000000000142e+01,9.999999999974594767e-01
2.770000000000000284e+01,9.999999999977221554e-01
2.780000000000000071e+01,9.999999999979647392e-01
2.790000000000000213e+01,9.999999999981836751e-01
2.800000000000000000e+01,9.999999999983809618e-01
2.810000000000000142e+01,9.999999999985589305e-01
2.820000000000000284e+01,9.999999999987166932e-01
2.830000000000000071e+01,9.999999999988525845e-01
2.840000000000000213e+01,9.999999999989646060e-01
2.850000000000000000e+01,9.999999999990523136e-01
2.860000000000000142e+01,9.999999999991219246e-01
2.870000000000000284e+01,9.999999999991779909e-01
2.880000000000000071e+01,9.999999999992258415e-01
2.890000000000000213e+01,9.999999999992729149e-01
2.900000000000000000e+01,9.999999999993284261e-01
2.910000000000000142e+01,9.999999999993899324e-01
2.920000000000000284e+01,9.999999999994529931e-01
2.930000000000000071e+01,9.999999999995170530e-01
2.940000000000000213e+01,9.999999999995800026e-01
2.950000000000000000e+01,9.999999999996385114e-01
2.960000000000000142e+01,9.999999999996898037e-01
2.970000000000000284e+01,9.999999999997356559e-01
2.980000000000000071e+01,9.999999999997760680e-01
2.990000000000000213e+01,9.999999999998089306e-01
3.000000000000000000e+01,9.999999999998323563e-01
3.010000000000000142e+01,9.999999999998443467e-01
3.020000000000000284e+01,9.999999999998481215e-01
3.030000000000000071e+01,9.999999999998501199e-01
3.040000000000000213e+01,9.999999999998563371e-01
3.050000000000000000e+01,9.999999999998699929e-01
3.060000000000000142e+01,9.999999999998855360e-01
3.070000000000000284e+01,9.999999999999006350e-01
3.080000000000000071e+01,9.999999999999124034e-01
3.090000000000000213e+01,9.999999999999221734e-01
3.100000000000000000e+01,9.999999999999302780e-01
3.110000000000000142e+01,9.999999999999364952e-01
3.120000000000000284e+01,9.999999999999412692e-01
3.130000000000000071e+01,9.999999999999453770e-01
3.140000000000000213e+01,9.999999999999494849e-01
3.150000000000000000e+01,9.999999999999545919e-01
3.160000000000000142e+01,9.999999999999591438e-01
3.170000000000000284e+01,9.999999999999635847e-01
3.180000000000000071e+01,9.999999999999673594e-01
3.190000000000000213e+01,9.999999999999706901e-01
3.200000000000000000e+01,9.999999999999736877e-01
3.210000000000000142e+01,9.999999999999761302e-01
3.220000000000000284e+01,9.999999999999782396e-01
3.230000000000000426e+01,9.999999999999802380e-01
3.239999999999999858e+01,9.999999999999821254e-01
3.250000000000000000e+01,9.999999999999837907e-01
3.260000000000000142e+01,9.999999999999853451e-01
3.270000000000000284e+01,9.999999999999866773e-01
3.280000000000000426e+01,9.999999999999878986e-01
3.289999999999999858e+01,9.999999999999891198e-01
3.300000000000000000e+01,9.999999999999901190e-01
3.310000000000000142e+01,9.999999999999911182e-01
3.320000000000000284e+01,9.999999999999918954e-01
3.330000000000000426e+01,9.999999999999926725e-01
3.339999999999999858e+01,9.999999999999933387e-01
3.350000000000000000e+01,9.999999999999940048e-01
3.360000000000000142e+01,9.999999999999945599e-01
3.370000000000000284e+01,9.999999999999951150e-01
3.380000000000000426e+01,9.999999999999955591e-01
3.389999999999999858e+01,9.999999999999960032e-01
3.400000000000000000e+01,9.999999999999963363e-01
3.410000000000000142e+01,9.999999999999966693e-01
3.420000000000000284e+01,9.999999999999968914e-01
3.430000000000000426e+01,9.999999999999972244e-01
3.439999999999999858e+01,9.999999999999974465e-01
3.450000000000000000e+01,9.999999999999976685e-01
3.460000000000000142e+01,9.999999999999978906e-01
3.470000000000000284e+01,9.999999999999981126e-01
3.480000000000000426e+01,9.999999999999983347e-01
3.489999999999999858e+01,9.999999999999984457e-01
3.500000000000000000e+01,9.999999999999986677e-01
3.510000000000000142e+01,9.999999999999987788e-01
3.520000000000000284e+01,9.999999999999988898e-01
3.530000000000000426e+01,9.999999999999991118e-01
3.539999999999999858e+01,9.999999999999992228e-01
3.550000000000000000e+01,9.999999999999992228e-01
3.560000000000000142e+01,9.999999999999993339e-01
3.570000000000000284e+01,9.999999999999994449e-01
3.580000000000000426e+01,9.999999999999994449e-01
3.589999999999999858e+01,9.999999999999994449e-01
3.600000000000000000e+01,9.999999999999995559e-01
3.610000000000000142e+01,9.999999999999995559e-01
3.620000000000000284e+01,9.999999999999996669e-01
3.630000000000000426e+01,9.999999999999996669e-01
